,s4 start frame ,s4 end frame ,s6 start frame ,s6 end frame 
Participant1,0,0,0,0
Participant2,0,0,0,0
Participant3,3600,4500,12300,14850
Participant4,1440,2370,11250,13260
Participant5,1230,2250,11550,13860
Participant6,1800,3000,11790,14400
Participant7,990,1860,9810,12750
Participant8,1590,2310,9570,12060
Participant9,-15810,-15000,-7290,-15810
Participant10,2880,3930,12330,-68700
Participant11,1680,2580,9240,11220
Participant12,2190,2910,11700,14430
Participant13,1350,2280,9150,11070
Participant14,2190,2910,9810,11910
Participant15,-18480,-17220,-11010,-8880
Participant16,3480,4530,15660,17190
Participant17,2040,3090,10410,12690
Participant18,3570,4620,17850,19470
Participant19,1350,2130,12690,13830
Participant20,2070,3390,9870,11610
Participant21,3750,4650,10590,12360
Participant22,2070,3390,9570,11580
Participant23,990,1710,12480,14430
Participant24,1500,2250,7680,9930
Participant25,1980,3030,9420,11340
Participant26,1440,2490,8430,10470
Participant27,3990,4740,11790,13980
Participant28,1530,2430,8640,11670
Participant29,1590,2490,10500,12840
Participant30,1620,2820,12600,15270
Participant31,5460,6660,15120,18030
Participant32,,0,,
Participant33,1980,2730,15120,17490
Participant34,1230,2010,8850,10680
Participant35,,5160,12330,14250
Participant36,6540,7080,15180,16920
Participant37,1920,2520,,12570
Participant38,2580,3120,12600,14850
Participant39,1860,2400,10650,12960
Participant40,1950,2490,9330,12120
Participant41,2430,0,10050,12780
Participant42,1500,1950,9150,10920
Participant43,1830,2910,9660,11370
Participant44,1470,2160,9060,10770
Participant45,1380,2070,10170,12090
Participant46,1710,2220,10140,12150
Participant47,1950,2700,8850,10590
Participant48,1350,1860,9720,11760
Participant49,1560,1860,10140,11940
