,Interview,S6 over
P1,1140,1269
P2,1008,1094
P3,408,500
P4,373,448
P5,383,464
P6,391,482
P7,325,432
P8,317,404
P9,355,491
P10,409,476
P11,306,376
P12,388,483
P13,303,371
P14,325,399
P15,-369,-294
P16,520,615
P17,345,425
P18,593,651
P19,421,463
P20,327,389
P21,351,414
P22,317,388
P23,414,483
P24,254,333
P25,312,380
P26,279,351
P27,391,468
P28,286,391
P29,348,430
P30,418,511
P31,502,603
P32,-2,2
P33,502,585
P34,293,358
P35,409,477
P36,504,566
P37,-2,421
P38,418,497
P39,353,434
P40,309,406
P41,333,428
P42,303,366
P43,320,381
P44,300,361
P45,337,405
P46,336,407
P47,293,355
P48,322,394
P49,336,400
