,S3 starts,S4 starts,S5 starts,S5 ends,S6 starts,S6 ends
Participant1,14:22:52,14:23:42,14:24:22,14:25:52,14:30:32,14:32:39
Participant2,14:57:26,14:58:26,14:59:02,15:00:32,15:04:15,15:05:39
Participant3,15:39:22,15:41:27,15:41:57,15:43:27,15:46:17,15:47:42
Participant4,16:06:10,16:06:50,16:07:21,16:08:51,16:12:17,16:13:24
Participant5,16:35:08,16:35:30,16:36:04,16:37:34,16:41:14,16:42:31
Participant6,10:55:21,10:55:56,10:56:36,10:58:06,11:01:29,11:02:56
Participant7,11:22:51,11:23:07,11:23:36,11:25:06,11:28:01,11:29:39
Participant8,11:38:12,11:38:44,11:39:08,11:40:38,11:43:10,11:44:33
Participant9,12:07:00,12:07:32,12:07:59,12:09:29,12:12:16,12:14:28
Participant10,12:42:53,12:44:03,12:44:38,12:46:08,12:49:18,12:50:21
Participant11,14:34:54,14:35:20,14:35:50,14:37:20,14:39:32,14:40:38
Participant12,15:10:49,15:11:29,15:11:53,15:13:23,15:16:46,15:18:17
Participant13,15:28:29,15:28:46,15:29:17,15:30:47,15:33:06,15:34:10
Participant14,16:02:12,16:02:55,16:03:19,16:04:49,16:07:09,16:08:19
Participant15,16:22:05,16:22:20,16:23:02,16:24:32,16:26:29,16:27:40
Participant16,10:25:31,10:26:38,10:27:13,10:28:43,10:33:24,10:34:55
Participant17,10:44:06,10:44:33,10:45:08,10:46:38,10:49:12,10:50:28
Participant18,11:10:30,11:11:44,11:12:19,11:13:49,11:19:40,11:20:34
Participant19,11:29:04,11:29:30,11:29:56,11:31:26,11:35:48,11:36:26
Participant20,11:46:24,11:46:40,11:47:24,11:48:54,11:51:00,11:51:58
Participant21,12:00:33,12:01:37,12:02:07,12:03:37,12:05:25,12:06:24
Participant22,12:15:16,12:15:54,12:16:38,12:18:08,12:20:04,12:21:11
Participant23,14:13:53,14:14:09,14:14:33,14:16:03,14:20:32,14:21:37
Participant24,14:32:35,14:32:59,14:33:24,14:34:54,14:36:25,14:37:40
Participant25,14:49:39,14:49:56,14:50:31,14:52:01,14:54:04,14:55:08
Participant26,15:02:54,15:03:14,15:03:49,15:05:19,15:07:07,15:08:15
Participant27,15:18:01,15:18:13,15:18:38,15:20:08,15:22:33,15:23:46
Participant28,15:34:30,15:34:39,15:35:09,15:36:39,15:38:36,15:40:17
Participant29,15:51:42,15:52:06,15:52:36,15:54:06,15:57:03,15:58:21
Participant30,16:13:34,16:13:56,16:14:36,16:16:06,16:20:02,16:21:31
Participant31,16:32:03,16:32:33,16:33:13,16:34:43,16:37:55,16:39:32
Participant32,,10:25:10,10:25:35,10:27:05,10:33:28,10:34:50
Participant33,,10:43:53,10:44:18,10:45:48,10:51:11,10:52:30
Participant34,,11:14:28,11:14:54,11:16:24,11:18:42,11:19:43
Participant35,,invalid,11:31:23,11:32:53,11:35:22,11:36:26
Participant36,,11:47:27,11:47:45,11:49:15,11:52:15,11:53:13
Participant37,,12:13:35,12:13:55,12:15:25,invalid,12:19:30
Participant38,,12:29:12,12:29:30,12:31:00,12:34:46,12:36:01
Participant39,,12:52:24,12:52:42,12:54:12,12:57:17,12:58:34
Participant40,,13:08:27,13:08:45,13:10:15,13:12:33,13:14:06
Participant41,,14:37:18,14:37:51,14:39:21,14:41:32,14:43:03
Participant42,,14:50:50,14:51:05,14:52:35,14:55:05,14:56:04
Participant43,,15:03:46,15:04:22,15:05:52,15:08:07,15:09:04
Participant44,,15:22:21,15:22:44,15:24:14,15:26:34,15:27:31
Participant45,,15:38:07,15:38:30,15:40:00,15:43:00,15:44:04
Participant46,,15:52:03,15:52:20,15:53:50,15:56:44,15:57:51
Participant47,,16:15:10,16:15:35,16:17:05,16:19:00,16:19:58
Participant48,,16:27:18,16:27:35,16:29:05,16:31:57,16:33:05
Participant49,,17:08:53,17:09:03,17:10:33,17:13:39,17:14:39
